date,id,name,diameter_m,velocity_km_s,distance_km,is_hazardous,magnitude,days_from_today,approach_hour
2025-10-05,2247517,247517 (2002 QY6),701.5198735305,18.2933115554,20515576.153006017,0,19.64,1,0
2025-10-05,2319988,319988 (2007 DK),765.6670867916,14.2822478089,19650688.633822095,0,19.45,1,10
2025-10-05,3092506,(2001 WJ4),19.6806745089,18.2830043948,74084958.19180362,0,27.4,1,5
2025-10-05,3746623,(2016 EF156),68.2401509401,17.7913534994,51388712.782018594,0,24.7,1,15
2025-10-05,3830865,(2018 SP1),142.5738833281,16.381588731,5041878.253037102,0,23.1,1,17
2025-10-05,54051291,(2020 QW2),450.8582061718,21.5787552506,42875160.29287166,0,20.6,1,4
2025-10-05,54296533,(2022 QE1),12.8244863243,9.2772720654,25006707.08007752,0,28.33,1,4
2025-10-05,54547735,(2025 SY10),34.9816249114,11.4006049777,6006932.706187124,0,26.151,1,0
2025-10-05,54549110,(2025 SN21),27.850947766,8.3257528748,2845700.544110071,0,26.646,1,16
2025-10-05,54549113,(2025 SJ22),48.2436300836,8.4280738651,4277969.251223821,0,25.453,1,23
2025-10-05,54549130,(2025 SO27),19.5902500233,6.4809213857,3948289.45958095,0,27.41,1,14
2025-10-05,54550502,(2025 TL),129.1338141669,17.9779723055,4434365.880661924,0,23.315,1,19
2025-10-05,54550507,(2025 TO),14.6163851626,6.9331467271,1262890.55794874,0,28.046,1,6
2025-10-04,3428698,(2008 TD),49.435619262,14.1369290299,24268337.351831708,0,25.4,0,3
2025-10-04,3667048,(2014 GQ17),22.5964377109,9.9368459615,49002315.99586324,0,27.1,0,11
2025-10-04,3728859,(2015 SZ16),156.3291544087,11.0165230119,58516116.89922257,0,22.9,0,3
2025-10-04,3799876,(2018 ES3),70.151987353,11.797074683,40987360.83568246,0,24.64,0,16
2025-10-04,3878561,(2019 TS1),83.5679942816,13.1404929752,20399348.10748076,0,24.26,0,19
2025-10-04,3879165,(2019 TY6),58.3498815511,15.2109133457,18340416.85505526,0,25.04,0,14
2025-10-04,3991587,(2020 CR2),20.4192590455,21.6957600212,27751317.357208066,0,27.32,0,18
2025-10-04,54154694,(2021 LA1),53.7081234856,6.0965747505,30652379.959063713,0,25.22,0,9
2025-10-04,54193830,(2021 RF4),115.8884031771,5.5201197288,56213476.32525198,0,23.55,0,23
2025-10-04,54202332,(2021 TD1),37.3284518745,15.7162809525,25687173.067806676,0,26.01,0,9
2025-10-04,54203006,(2021 SZ4),478.6741544192,44.5235909383,71892716.08868077,1,20.47,0,2
2025-10-04,54215217,(2021 VO),328.1254971615,13.2737991015,57426097.67550228,0,21.29,0,19
2025-10-04,54265894,(2022 FF3),16.5973968696,9.5535291324,46320602.01888444,0,27.77,0,1
2025-10-04,54352299,(2023 FL4),57.5492911629,15.0262947206,74202950.92372298,0,25.07,0,14
2025-10-04,54390823,(2023 TT),91.209479795,17.0960093943,25814258.37322441,0,24.07,0,7
2025-10-04,54392067,(2023 TM3),24.3242791478,21.3994446068,45856607.81419311,0,26.94,0,23
2025-10-04,54546621,(2025 SS3),106.8169021866,12.9962346815,9826487.424155291,0,23.727,0,21
2025-10-04,54549112,(2025 SG22),107.2111559937,15.2146676137,15191996.942715213,0,23.719,0,2
2025-10-04,54549680,(2025 SZ27),54.3550599122,16.413799511,1180837.188398617,0,25.194,0,4
2025-10-10,3693271,(2014 TT57),259.4418179074,16.7260285699,70260036.02193816,0,21.8,6,16
2025-10-10,3831218,(2018 TD2),29.7879062798,16.4771934174,23883806.214611653,0,26.5,6,7
2025-10-10,54143218,(2021 JQ),103.2856480504,10.0275543149,47119006.673862725,0,23.8,6,23
2025-10-10,54147685,(2021 KF2),154.1842379994,15.5093542913,65308038.293486804,0,22.93,6,15
2025-10-10,54360089,(2023 KX3),41.6907759952,8.3661150323,28095165.727676295,0,25.77,6,8
2025-10-10,54387140,(2023 SL5),10.3762392941,9.1932817532,43080564.73572815,0,28.79,6,10
2025-10-10,54549690,(2025 SN29),34.4698964513,8.9880965,4773773.528117924,0,26.183,6,8
2025-10-10,54549691,(2025 SP29),36.1776188369,14.19746631,3708763.268475731,0,26.078,6,4
2025-10-11,3370286,(2007 EV),59.4346868419,23.2798599159,65573368.920384064,0,25,7,17
2025-10-11,3789621,(2017 WK13),717.8603705294,29.0746405568,21975871.76674789,0,19.59,7,15
2025-10-11,3879228,(2019 UL),8.9958038817,18.893095028,68455871.54281986,0,29.1,7,19
2025-10-11,3989280,(2020 BQ12),74.8238376074,7.9851344003,21662180.3222602,0,24.5,7,5
2025-10-11,54051126,(2020 PH5),199.5445996359,13.191491371,39032939.35834895,0,22.37,7,6
2025-10-11,54235680,(2022 AL3),241.0127281611,11.1068398598,65729568.60422631,0,21.96,7,17
2025-10-11,54301288,(2022 RJ1),29.6510432825,11.9272405397,51288535.83995499,0,26.51,7,20
2025-10-11,54307442,(2022 SM10),79.8068149676,6.5264851599,15596761.476088718,0,24.36,7,1
2025-10-11,54373188,(2023 LL1),13.4908706645,16.6014176526,37454813.26653753,0,28.22,7,20
2025-10-11,54397142,(2023 UZ2),25.0057554041,9.9891416916,32481147.124364756,0,26.88,7,2
2025-10-11,54404088,(2023 VT5),132.4463452445,10.1226957178,24106503.213813778,0,23.26,7,15
2025-10-11,54439324,(2024 JH),44.4672199676,7.5657397576,17191607.94231259,0,25.63,7,15
2025-10-11,54467611,(2024 RM),84.7305408852,10.7805972206,30262905.01615441,0,24.23,7,11
2025-10-11,54542538,(2025 QL9),112.7301224584,5.7258342475,17959634.9994923,0,23.61,7,11
2025-10-11,54549121,(2025 SU25),69.733261608,3.3526168371,25819793.79361015,0,24.653,7,0
2025-10-11,54550577,(2025 TQ1),66.6868154623,5.7407552426,21909939.946296398,0,24.75,7,22
2025-10-07,3559911,(2011 ET74),34.201092472,18.0792095644,65301756.58916678,0,26.2,3,0
2025-10-07,3611402,(2012 TR231),98.6370281305,18.3828706129,47911936.97430581,0,23.9,3,4
2025-10-07,3781897,(2017 SL16),38.9080960011,5.0013428598,21187666.679586414,0,25.92,3,21
2025-10-07,3819574,(2018 HG2),83.5679942816,23.0053158378,64466387.18313893,0,24.26,3,11
2025-10-07,3831210,(2018 TX1),78.3501764334,10.909964223,17554169.330821674,0,24.4,3,17
2025-10-07,54016489,(2020 GA2),351.5928047493,30.0366565688,44561001.638214916,1,21.14,3,22
2025-10-07,54165800,(2021 NM),33.7318358913,23.8269863934,42583700.34848808,0,26.23,3,8
2025-10-07,54202333,(2021 TE1),76.9201245487,24.9629732006,57739027.651871875,0,24.44,3,22
2025-10-07,54205444,(2021 TD7),27.6719636665,16.2004007293,19264377.970099244,0,26.66,3,22
2025-10-07,54312823,(2022 TD),16.9059655155,7.4075552816,15054344.8216696,0,27.73,3,0
2025-10-07,54490869,(2024 TP14),334.2258056097,34.7587465136,69712527.71425487,0,21.25,3,7
2025-10-07,54545158,(2025 RG3),87.5467399974,9.3830673833,15062308.155646292,0,24.159,3,7
2025-10-07,54546614,(2025 SE3),127.7732609633,10.4592605921,22935721.964316987,0,23.338,3,5
2025-10-07,54546916,(2025 RX10),55.2637026031,6.5150369964,15781356.301716091,0,25.158,3,11
2025-10-07,54548503,(2025 SM15),19.9177363241,10.2952217039,3077935.948382757,0,27.374,3,3
2025-10-07,54550522,(2025 TA1),66.0145973633,13.0196210121,15947501.20707658,0,24.772,3,3
2025-10-07,54550578,(2025 TS1),80.2860291516,8.6246648725,11124243.51600261,0,24.347,3,14
2025-10-06,2477719,477719 (2010 SG15),52.7278397554,5.1613522899,14627344.868727792,0,25.26,2,21
2025-10-06,3255174,(2004 SW26),43.8571068371,21.2348817181,58913122.35955108,0,25.66,2,3
2025-10-06,3648864,(2013 TT5),32.6617897446,8.081453263,26175195.62253827,0,26.3,2,19
2025-10-06,3781891,(2017 ST16),85.9092601232,9.8205556757,39292473.36697945,0,24.2,2,21
2025-10-06,3785751,(2017 TS3),218.7963026589,16.8683475324,37278274.196450934,0,22.17,2,12
2025-10-06,3838904,(2019 ED1),17.7027191237,13.8527945685,57668727.169702135,0,27.63,2,23
2025-10-06,54131736,(2021 ED5),552.1282628496,22.1815270319,10897501.480154408,1,20.16,2,6
2025-10-06,54211501,(2021 UO),487.5733713755,21.3098970711,25103009.856182165,0,20.43,2,2
2025-10-06,54215637,(2021 UV9),98.1838321526,6.2439477868,38999447.656489514,0,23.91,2,9
2025-10-06,54240297,(2022 BB3),154.1842379994,16.3663298781,42025803.81511412,0,22.93,2,4
2025-10-06,54318589,(2022 UN5),55.980913209,21.6495987978,63484736.40213026,0,25.13,2,10
2025-10-06,54416724,(2023 XX12),66.3804173771,7.4945176444,46153734.451093346,0,24.76,2,19
2025-10-06,54486545,(2024 TK),143.2319744727,22.301180174,37118375.61551422,0,23.09,2,9
2025-10-06,54488497,(2024 TL5),18.0318372445,5.3974063811,9234102.717509829,0,27.59,2,23
2025-10-06,54496027,(2024 UJ5),44.2629116503,11.3649819643,27012890.13850081,0,25.64,2,6
2025-10-06,54547366,(2025 SU6),79.4401359603,9.072328971,14399495.50944585,0,24.37,2,12
2025-10-06,54549119,(2025 SC24),47.6036198939,13.3335937488,4528950.106355579,0,25.482,2,15
2025-10-06,54549120,(2025 SH25),26.3051013113,12.7752940199,3543868.118681011,0,26.77,2,19
2025-10-06,54549688,(2025 SL29),99.5497053148,5.5933307016,16053981.201076254,0,23.88,2,17
2025-10-06,54550524,(2025 TC1),25.8606822876,5.6947540873,4237528.803101822,0,26.807,2,10
2025-10-09,3163746,(2003 UC5),505.8712275983,23.986036034,57588819.81151674,0,20.35,5,6
2025-10-09,3388887,(2007 US),168.2828965971,14.0431032706,61796378.05766446,0,22.74,5,22
2025-10-09,3612164,(2012 TA259),503.5469604336,36.4366286631,70170345.77088325,0,20.36,5,15
2025-10-09,3789121,(2017 VW1),457.1302685904,17.5036173252,29656442.790907055,0,20.57,5,20
2025-10-09,3831876,(2018 UC),39.2681081809,24.7638154344,73660759.01018396,0,25.9,5,16
2025-10-09,54051399,(2020 QU5),43.4550224647,13.6340013055,2713951.15110041,0,25.68,5,0
2025-10-09,54101717,(2020 YB3),26.4265201422,14.1555974019,64000008.164002985,0,26.76,5,21
2025-10-09,54190785,(2021 QE2),75.1692087496,9.7442348048,16077901.661132663,0,24.49,5,5
2025-10-09,54489167,(2024 TT5),70.151987353,14.2780978485,28416562.270297475,0,24.64,5,9
2025-10-09,54535145,(2025 MJ2),292.4421571708,12.7509438424,10978714.483669806,0,21.54,5,11
2025-10-09,54548209,(2025 ST14),49.8930414151,5.7413778592,15710501.918472892,0,25.38,5,14
2025-10-09,54548507,(2025 SP15),59.7365282462,8.0080535942,6271891.417819776,0,24.989,5,12
2025-10-09,54548711,(2025 SA21),30.1606001286,7.7544271253,3550613.022885914,0,26.473,5,6
2025-10-09,54549118,(2025 SP23),47.9115232701,14.7552216771,494631.758708617,0,25.468,5,1
2025-10-08,2162080,162080 (1998 DG16),608.1909854376,17.0825053715,61525294.06124466,0,19.95,4,12
2025-10-08,3785769,(2017 TJ4),54.2050786336,18.3052886428,47262643.87657173,0,25.2,4,4
2025-10-08,54017652,(2020 MK3),41.1187571041,13.0947676574,62188993.269302085,0,25.8,4,0
2025-10-08,54055119,(2020 TQ3),29.7879062798,18.420602078,60209055.27223714,0,26.5,4,9
2025-10-08,54278307,(2022 JA1),50.1233372306,9.7409613216,50158125.40077171,0,25.37,4,20
2025-10-08,54296538,(2022 QP1),123.038202784,3.1339293811,65888566.62094542,0,23.42,4,9
2025-10-08,54314205,(2022 TU1),16.4452310205,12.9051311585,6459032.294476041,0,27.79,4,8
2025-10-08,54545163,(2025 RN3),62.551824088,4.3731734324,25165467.281062692,0,24.889,4,4
2025-10-08,54547373,(2025 SJ7),108.1533506775,8.100480555,15080573.502061173,0,23.7,4,6
2025-10-08,54547374,(2025 SK7),145.0908345628,23.0576131902,9336916.29211261,0,23.062,4,1
2025-10-08,54549122,(2025 SW25),39.9613341144,6.1990238587,9653241.646458237,0,25.862,4,14
2025-10-08,54549687,(2025 SJ29),28.816416908,10.4411958802,3220725.215404808,0,26.572,4,1
2025-10-08,54550499,(2025 SD38),29.8840860846,6.0026226154,11430922.934328722,0,26.493,4,1
2025-10-08,54550568,(2025 TF1),34.7088303588,17.458675662,3233024.79324132,0,26.168,4,17